density(tonne/mm3),E(MPa),v(-),phi(deg),psi(deg),c(MPa),area_reduced(%),plastic_zone(%),max_PEEQ(-),min_PEEQ(-),sim_num
2.4e-09,30,0.2,26.25,23.625,0.075125,0,0,0.0030622,5.47836e-07,298
2.4e-09,30,0.2,26.25,23.625,0.1,0,0,0.000252651,5.26065e-05,299
2.4e-09,30,0.2,32.5,3.25,0.0005,0,0,0.0222537,2.07181e-09,300
2.4e-09,30,0.2,32.5,3.25,0.025375,0,0,0.0130833,7.71461e-08,301
2.4e-09,30,0.2,32.5,3.25,0.05025,0,0,0.00597677,8.4177e-07,302
2.4e-09,30,0.2,32.5,3.25,0.075125,0,0,0.00233819,6.62929e-07,303
2.4e-09,30,0.2,32.5,3.25,0.1,0,0,0,0,304
2.4e-09,30,0.2,32.5,9.75,0.0005,0,3.55159180400123,0.0391601,3.62076e-09,305
2.4e-09,30,0.2,32.5,9.75,0.025375,0,0,0.0140752,2.00366e-07,306
2.4e-09,30,0.2,32.5,9.75,0.05025,0,0,0.00627699,2.49904e-06,307
2.4e-09,30,0.2,32.5,9.75,0.075125,0,0,0.00249102,7.1016e-06,308
2.4e-09,30,0.2,32.5,9.75,0.1,0,0,5.49414e-05,6.40321e-07,309
2.4e-09,30,0.2,32.5,16.25,0.0005,0,6.17079632454835,0.0676252,2.28459e-08,310
2.4e-09,30,0.2,32.5,16.25,0.025375,0,0,0.0153351,8.21695e-08,311
2.4e-09,30,0.2,32.5,16.25,0.05025,0,0,0.00661276,5.02521e-06,312
2.4e-09,30,0.2,32.5,16.25,0.075125,0,0,0.00263313,3.19364e-06,313
2.4e-09,30,0.2,32.5,16.25,0.1,0,0,0.000192833,3.60684e-05,314
2.4e-09,30,0.2,32.5,22.75,0.0005,0.333460138061803,16.5439458679058,0.814427,1.85845e-08,315
2.4e-09,30,0.2,32.5,22.75,0.025375,0,0,0.0170371,1.98363e-07,316
